name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Harry_Arter_33,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,302,0,0,0,0,18438,0,0,2019-04-16T18:45:00Z,4/16/2019 19:45,0,0,0,0,0,3,0,0,0,0,0,0,34,0,11532,0,0,0,2,0,0,0,117,195,78,49,FALSE,0,0,Harry,Arter,0,1,48,1999,39,188.8,230.6,170,0,225,58.9,7,0,10,0.2,49,Harry,Arter,33
Marc_Pugh_34,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,331,0,0,0,0,18440,0,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,0,0,0,3,0,0,0,0,0,0,34,0,22210,0,0,0,5,0,0,0,-86,9,95,43,FALSE,0,0,Marc,Pugh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,43,Marc,Pugh,34
Andrew_Surman_35,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,331,0,0,0,0,18441,0,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,0,0,0,3,0,0,0,0,0,0,34,0,9004,0,0,0,5,0,0,0,-191,9,200,46,FALSE,0,0,Andrew,Surman,0,0,36,1438,37,163,190.8,38,0,206,39.2,4,0,2,0.1,46,Andrew,Surman,35
Junior_Stanislas_36,0,6,0,0,0,21,0,0,5,0.9,1,0,36,0,0,331,0,0,1,5.2,18442,34.4,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,7,0,0,3,0,0,0,0,1,0,34,0,5339,1,0,0,5,0,17,6,-46,76,122,60,FALSE,0,0,Junior,Stanislas,2,3,55,999,24,253.1,223.4,339,3,201,81.6,2,0,1,0.1,60,Junior,Stanislas,36
Dan_Gosling_37,0,69,0,0,0,30,1,6,59,2.7,1,0,37,0,0,331,1,0,1,11.6,18443,71.6,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,90,0,0,3,0,0,0,0,7,0,34,0,5922,2,0,1,5,0,42,7,-39,86,125,47,FALSE,1,1,Dan,Gosling,1,2,47,1592,31,130.7,345.6,198,0,210,67.3,4,0,7,0.1,47,Dan,Gosling,37
Jordon_Ibe_38,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,331,0,0,0,0,18444,0,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,0,0,0,3,0,0,0,0,0,0,34,0,13517,0,0,0,5,0,0,0,-72,47,119,50,FALSE,0,0,Jordon,Ibe,0,1,23,644,19,151.8,76.2,118,0,75,34.5,0,0,1,0.2,50,Jordon,Ibe,38
Lewis_Cook_39,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,331,0,0,0,0,18445,0,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,0,0,0,3,0,0,0,0,0,0,34,0,7144,0,0,0,5,0,0,0,-13,10,23,46,FALSE,0,0,Lewis,Cook,0,0,22,719,10,50.4,76,36,0,91,16.5,3,0,2,0.1,46,Lewis,Cook,39
Ryan_Fraser_40,2,44,1,0,2,53,1,2,37,51.8,0,0,40,0,0,331,0,0,1,14.3,18446,80.4,3,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,90,0,1,3,0,0,0,0,3,0,34,0,1402509,2,0,0,5,0,11,16,-117704,22025,139729,63,FALSE,0,0,Ryan,Fraser,7,12,163,2828,56,1138.2,830.4,547,20,673,251.9,8,0,2,22.5,63,Ryan,Fraser,40
Emerson_Hyndman_41,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,331,0,0,0,0,18447,0,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,0,0,0,3,0,0,0,0,0,0,34,0,2646,0,0,0,5,0,0,0,-9,0,9,45,FALSE,0,0,Emerson,Hyndman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Emerson,Hyndman,41
David_Brooks_42,1,39,1,0,1,43,1,3,27,46.4,1,0,42,0,0,331,0,0,1,14.6,18448,66.2,4,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,90,0,0,3,0,0,0,0,6,0,34,0,304288,3,1,0,5,0,33,12,-46179,9415,55594,51,FALSE,0,0,David,Brooks,7,5,116,2083,37,434.5,566.6,596,7,378,159.9,9,0,3,4.9,51,David,Brooks,42
Callum_Wilson_43,2,18,1,0,3,54,1,1,12,21.1,1,0,43,0,0,331,0,0,1,11.8,18449,69.6,2,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,82,0,0,3,0,0,0,0,3,0,34,0,1016710,1,0,0,5,0,27,15,-105177,26908,132085,66,FALSE,0,0,Callum,Wilson,12,11,146,2168,38,356.8,623.4,924,19,457,189.9,8,0,3,17.2,66,Callum,Wilson,43
Lys_Mousset_44,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,331,0,0,0,0,18450,0,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,0,0,0,3,0,0,0,0,0,0,34,0,16484,0,0,0,5,0,0,0,-507,130,637,49,FALSE,0,0,Lys,Mousset,1,0,25,302,14,53.8,61.2,106,0,75,21.8,0,0,1,0.3,49,Lys,Mousset,44
