name,lname,ID,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,assists,attempted_passes
Adama,Traoré,500,0,0,0,3,0,0,8,1.6,2,0,500,0,0,159,1,1,0,0.6,8639,0.2,0,2018-12-09T16:00:00Z,12/9/2019 16:00,0,0,59,0,0,15,0,0,0,0,4,0,16,0,19327,2,0,0,2,1,4,1,-691,152,843,53,FALSE,0,0,0,11
Filip,Benkovic,501,0,0,0,0,0,0,0,0,0,0,501,0,0,157,0,0,0,0,8640,0,0,2018-12-08T19:45:00Z,12/8/2019 19:45,0,0,0,0,0,17,0,0,0,0,0,0,16,0,1468,0,0,0,2,0,0,0,-4,0,4,50,TRUE,0,0,0,0
Lucas,Pérez,502,1,0,0,5,0,0,10,12.3,1,0,502,0,0,160,1,1,0,2,8641,0,1,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,45,0,0,7,0,0,0,0,2,0,16,0,38326,1,0,1,2,3,8,1,29777,31083,1306,62,TRUE,0,0,0,14
Martín,Montoya,503,0,0,0,0,0,0,0,0,0,0,503,0,0,153,0,0,0,0,8642,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,4,0,0,0,0,0,0,16,0,7565,0,0,0,0,1,0,0,-17,126,143,43,FALSE,0,0,0,0
Víctor,Camarasa,504,0,0,0,12,1,3,24,59.3,1,0,504,0,0,154,2,0,0,7.4,8643,15,4,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,90,0,1,16,0,0,0,0,7,0,16,0,100823,5,0,0,0,1,0,3,-1013,5678,6691,46,TRUE,0,0,0,30
Jordan,Ayew,505,0,0,0,0,0,0,2,0.5,0,0,505,0,0,160,1,0,0,0,8644,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,24,0,0,19,0,0,0,0,0,0,16,0,12058,2,0,0,2,3,0,1,-318,172,490,57,FALSE,0,0,0,2
Yerry,Mina,506,0,0,0,16,0,10,43,0.9,0,0,506,0,0,156,3,2,0,3.1,8645,24.2,0,2018-12-10T20:00:00Z,12/10/2019 20:00,0,0,90,0,0,18,0,0,0,0,6,0,16,0,55836,0,2,1,2,2,6,0,4919,6823,1904,54,TRUE,0,1,0,47
Bernard,Anício Caldeira Duarte,507,0,0,0,5,0,0,15,2.9,0,0,507,0,0,156,0,2,0,1.1,8646,5.6,0,2018-12-10T20:00:00Z,12/10/2019 20:00,0,0,65,0,0,18,0,0,0,0,2,0,16,0,16119,1,0,0,2,2,2,2,-844,929,1773,59,TRUE,0,0,0,18
André Filipe,Tavares Gomes,508,1,0,0,18,0,3,52,14.2,0,0,508,0,0,156,3,2,0,5.7,8647,37,1,2018-12-10T20:00:00Z,12/10/2019 20:00,0,0,90,0,0,18,0,0,0,0,8,0,16,0,12326,3,0,0,2,2,6,5,1237,1834,597,54,TRUE,0,0,1,66
Sergio,Rico,509,0,0,0,19,0,2,11,0,0,0,509,1,1,158,0,4,0,4.7,8648,47.2,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,90,0,0,14,0,0,0,0,7,0,16,7,13209,0,0,0,1,4,0,2,684,1127,443,44,FALSE,0,0,0,28
Joe,Bryan,510,0,0,0,9,0,4,23,1.3,0,0,510,0,0,158,0,4,0,2.6,8649,17.4,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,90,0,0,14,0,0,0,0,5,0,16,0,3985,0,0,0,1,4,7,0,-25,34,59,48,FALSE,0,0,0,29
Timothy,Fosu-Mensah,511,0,0,0,0,0,0,0,0,0,0,511,0,0,158,0,0,0,0,8650,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,14,0,0,0,0,0,0,16,0,24299,0,0,0,1,4,0,0,-772,18,790,45,FALSE,0,0,0,0
André-Frank,Zambo Anguissa,512,0,0,0,4,0,4,25,2,3,0,512,0,0,158,2,4,0,1.4,8651,9.8,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,67,1,0,14,0,0,0,0,4,1,16,0,7183,2,2,0,1,4,2,-1,-241,56,297,44,FALSE,0,0,0,33
Luciano,Vietto,513,0,0,0,3,0,0,21,13.5,1,0,513,0,0,158,1,1,0,3.2,8652,9.2,1,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,45,0,0,14,0,0,0,0,1,0,16,0,32915,1,0,0,1,4,9,1,-1754,493,2247,55,FALSE,0,0,0,23
Isaac,Mbenza,514,0,0,0,0,0,0,0,0,0,0,514,0,0,151,0,0,0,0,8653,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,1,0,0,0,0,0,0,16,0,1196,0,0,0,0,1,0,0,-21,5,26,59,FALSE,0,0,0,0
Caglar,Söyüncü,515,0,0,0,0,0,0,0,0,0,0,515,0,0,157,0,0,0,0,8654,0,0,2018-12-08T19:45:00Z,12/8/2019 19:45,0,0,0,0,0,17,0,0,0,0,0,0,16,0,2092,0,0,0,2,0,0,0,2,30,28,49,TRUE,0,0,0,0
Federico,Fernández,516,0,0,0,9,0,4,33,0,0,0,516,0,0,159,1,1,0,2.9,8655,9.6,0,2018-12-09T16:00:00Z,12/9/2019 16:00,0,0,45,0,0,20,0,0,0,0,3,0,16,0,34401,0,0,0,2,1,19,1,3653,5080,1427,44,TRUE,0,0,0,41
Domingos,Quina,517,0,0,0,9,0,2,28,12,0,0,517,0,0,156,2,1,0,2.3,8656,5.2,1,2018-12-10T20:00:00Z,12/10/2019 20:00,0,0,90,0,0,8,0,0,0,0,9,0,16,0,3642,1,0,1,2,2,6,2,-29,56,85,44,FALSE,0,0,0,37
Carlos,Sánchez,518,0,0,0,0,0,0,0,0,0,0,518,0,0,160,0,0,0,0,8657,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,7,0,0,0,0,0,0,16,0,10653,0,0,0,2,3,0,0,-204,11,215,44,TRUE,0,0,0,0
