first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,id
Alexander,Sørloth,0,0,11,161,3,37.5,18.8,55,0,29,10.8,0,0,0,0.2,48,153
Jordan,Pickford,0,0,66,1350,17,10,353.6,0,7,283,36.3,4,0,1,15.8,50,154
Maarten,Stekelenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,40,155
Leighton,Baines,0,0,5,284,5,74.7,39.8,15,0,40,13,0,0,0,0.7,51,156
Seamus,Coleman,1,0,38,990,11,132.8,213,78,2,191,42.3,3,0,1,1.6,52,157
Phil,Jagielka,0,0,-2,53,2,0,1.2,0,0,-2,0.1,0,1,0,0.5,43,158
Ashley,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,159
Mason,Holgate,0,0,5,407,9,5,92.2,2,0,61,9.9,0,0,1,0.1,44,160
Jonjoe,Kenny,0,1,13,360,6,35.1,69.4,7,0,62,11.1,1,0,0,0.2,43,161
Michael,Keane,1,2,59,1080,12,61.2,298.4,203,11,250,56.5,4,0,0,4.7,50,162
Cuco,Martina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,163
Theo,Walcott,2,3,55,1133,15,178.3,208.6,349,3,151,73.6,5,0,0,4.5,63,164
Yannick,Bolasie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,58,165
James,McCarthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,166
Morgan,Schneiderlin,0,1,10,248,5,54.8,55.4,2,0,59,11.2,0,0,1,1.5,43,167
Idrissa,Gueye,0,0,29,1247,16,109.2,258,33,0,202,40,4,0,3,0.3,48,168
Tom,Davies,0,0,11,496,7,55.3,61.6,26,0,62,14.3,1,0,2,0.1,52,169
Ademola,Lookman,0,1,13,251,2,72,56.4,37,0,48,16.7,0,0,0,0.1,51,170
Davy,Klaassen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,171
Gylfi,Sigurdsson,6,2,76,1251,14,516.1,413,375,10,284,130.3,5,0,2,8.8,75,172
Nikola,Vlasic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,173
Beni,Baningime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,174
Dominic,Calvert-Lewin,2,0,25,366,7,28.2,89.2,152,2,81,26.7,0,0,1,0.7,53,175
Oumar,Niasse,0,0,4,48,0,13.1,2.8,16,0,-2,2.9,0,0,0,0.3,50,176
Cenk,Tosun,2,2,31,583,10,88.3,132,280,0,99,49.6,0,0,1,1.8,66,177
Marcus,Bettinelli,0,0,15,630,20,0,195,0,0,114,19.4,0,0,1,0.5,44,178
David,Button,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,40,179
Tim,Ream,0,0,3,329,12,3.2,57.4,0,0,50,6.1,0,0,0,0.1,42,180
Denis,Odoi,0,0,11,1125,30,70.5,248.2,28,0,166,34.7,0,0,2,0.1,44,181
Tom,Cairney,0,1,20,657,16,218.9,118,38,0,128,37.5,0,0,0,0.6,48,182
Kevin,McDonald,0,0,10,614,20,65.6,65.8,15,0,77,14.7,0,1,2,0.2,43,183
Ryan,Sessegnon,1,3,43,1142,32,241.9,228.4,213,2,157,68.5,0,0,0,2.6,60,184
Stefan,Johansen,0,0,11,380,12,31.6,48.8,7,0,50,8.9,0,0,3,0.1,51,185
Floyd,Ayité,0,0,6,153,4,6.6,12.2,9,0,13,2.6,0,0,0,0.1,43,186
Neeskens,Kebano,0,0,1,14,1,0.6,2,2,0,2,0.5,0,0,0,0.1,44,187
Rui Pedro,da Rocha Fonte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,44,188
Aboubakar,Kamara,1,0,15,393,12,83,47.2,88,2,41,20.6,0,0,1,8,43,189
Ben,Hamer,0,0,4,192,9,0,78.4,0,0,39,7.8,0,0,0,8.3,40,190
Jonas,Lössl,0,0,40,1157,17,20,267.2,0,2,204,28.6,3,0,0,1.6,44,191
Christopher,Schindler,1,1,47,1330,26,26.1,284.8,62,7,237,37.3,3,0,2,3,43,192
Chris,Löwe,0,2,30,919,20,190.3,178.8,50,6,178,41.9,1,0,0,0.1,44,193
Tommy,Smith,0,0,5,207,7,5.6,31.8,2,0,37,4,1,0,1,0.1,44,194
Mathias,Jorgensen,2,1,41,1157,20,49.4,291,83,3,219,42.6,2,0,5,3,44,195
Scott,Malone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,40,196
Florent,Hadergjonaj,0,0,30,1018,18,179.4,128.4,72,0,166,37.8,3,0,1,0.1,44,197
Terence,Kongolo,1,0,30,982,19,59.4,196.6,80,0,163,33.7,3,0,2,0.2,43,198
Aaron,Mooy,2,0,42,1232,19,441,288.6,216,3,237,94.7,3,0,2,2.1,51,199
Rajiv,van La Parra,0,0,10,405,6,57.6,27.8,41,0,13,12.6,1,0,0,0,47,200
Jonathan,Hogg,0,1,27,948,15,134.7,186.8,24,3,165,34.5,3,1,1,0.5,44,201
Philip,Billing,1,0,36,1300,25,223.9,294.8,193,3,192,71.3,3,0,5,2.2,45,202
Tom,Ince,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,203
Danny,Williams,0,0,2,14,0,0.7,1.6,1,0,5,0.2,0,0,0,0,45,204
Abdelhamid,Sabiri,0,0,2,48,3,0.5,4.2,2,0,6,0.7,0,0,0,0.1,43,205
Alex,Pritchard,1,0,29,857,17,89.7,100.8,295,0,82,48.5,3,0,0,0.1,48,206
Ramadan,Sobhi,0,0,3,45,2,20.2,7.4,2,0,9,2.9,0,0,0,0.1,48,207
Juninho,Bacuna,0,0,2,13,1,0.3,3,0,0,7,0.3,0,0,0,0.2,43,208
Collin,Quaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,43,209
Laurent,Depoitre,0,1,21,669,16,83.4,37,221,0,23,33.5,0,0,1,0.5,51,210
Steve,Mounie,0,2,23,779,14,127.7,85.2,346,0,35,54.5,2,1,0,0.2,58,211
Elias,Kachunga,0,0,4,153,2,9.6,6,21,0,1,3.3,0,0,0,0.1,48,212
Kasper,Schmeichel,0,0,53,1350,18,0,309.8,4,3,265,31.3,5,0,1,5.1,50,213
Eldin,Jakupovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,214
Wes,Morgan,0,0,28,940,13,24,188.2,103,2,163,31.6,4,2,1,0.9,45,215
Christian,Fuchs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,42,216
