assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,id,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,0,2631,0,0,0,3,1,0,0,-3,1,4,45,TRUE,0,0,Lewis,Cook,0,0,22,719,10,50.4,76,36,0,91,16.5,3,0,2,0.1,46,39,,,,,
0,58,1,0,0,19,0,0,43,31.4,4,0,0,0,3,0,8.1,18.2,2,0,0,90,0,2,4,0,0,0,0,3,0,33,0,353228,1,0,0,3,1,31,2,22187,32304,10117,51,TRUE,0,0,Ryan,Fraser,6,10,147,2738,56,1086.4,750,536,18,620,237.6,7,0,2,23.6,63,40,,,,,
0,20,0,2,0,-3,0,1,13,6.7,0,0,0,1,3,0,3.7,1.6,0,0,0,90,2,1,4,0,0,0,0,4,0,33,0,1142073,2,1,2,3,1,29,2,148046,163148,15102,65,TRUE,0,0,Emerson,Hyndman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,41,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,0,16980,0,0,0,3,1,0,0,-300,287,587,49,TRUE,0,0,David,Brooks,6,4,104,1993,37,388.1,500.4,563,6,335,145.3,8,0,3,5.3,51,42,,,,,
0,30,0,0,0,6,0,0,19,15,2,0,0,1,3,0,6.4,4.6,1,0,0,90,0,0,4,0,0,0,0,5,0,33,0,506467,4,1,1,3,1,44,2,72597,84490,11893,65,TRUE,0,0,Callum,Wilson,11,9,131,2086,38,335.7,553.8,897,16,403,178.1,7,0,3,17.3,66,43,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,0,22353,0,0,0,3,1,0,0,-58,6,64,56,TRUE,0,0,Lys,Mousset,1,0,25,302,14,53.8,61.2,106,0,75,21.8,0,0,1,0.3,49,44,,,,,
0,34,0,0,0,12,0,0,13,0,0,0,0,0,1,0,1.4,14.4,0,0,0,90,0,0,2,0,0,0,0,6,0,33,2,37627,0,0,0,3,1,0,2,1137,1830,693,48,FALSE,0,0,Joshua,King,11,3,127,2558,48,486.4,605.8,912,20,426,200,8,0,3,7.6,66,45,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,0,10626,0,0,0,3,1,0,0,7,47,40,48,FALSE,0,0,Jermain,Defoe,0,0,4,22,2,0,3,23,0,12,2.6,0,0,0,0.4,56,46,,,,,
0,24,0,0,0,11,0,3,17,0.7,1,0,0,0,1,0,1.5,14.6,0,0,0,90,0,0,2,0,0,0,0,9,0,33,0,13756,0,0,0,3,1,0,2,-15,43,58,46,FALSE,0,0,Mathew,Ryan,0,0,84,2430,41,0,537.6,0,9,425,53.9,5,0,2,4.2,44,47,,,,,
0,29,0,0,0,4,0,5,24,0.5,0,0,0,1,1,0,2.6,5.6,0,0,0,90,0,0,2,0,0,0,0,3,0,33,0,104489,0,1,3,3,1,20,1,668,1300,632,46,FALSE,0,1,Lewis,Dunk,2,1,79,2521,42,109.4,654.2,178,6,473,94.6,6,1,4,3.2,44,48,,,,,
