name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,points_per_game,winning_goals,yellow_cards,first_name,second_name,t_goals_scored,t_assists,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent,gw16_pts,dream_team
Tom_Heaton_67,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,143,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6169,0,0,0,3,1,0,0,-53,19,72,48,TRUE,0,0,0,Tom,Heaton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
Nick_Pope_68,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,143,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,10825,0,0,0,3,1,0,0,-88,11,99,49,TRUE,0,0,0,Nick,Pope,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
Matthew_Lowton_69,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,143,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,19102,0,0,0,3,1,0,0,-763,58,821,47,TRUE,1.8,0,0,Matthew,Lowton,0,0,1080,26,89.5,203.2,28,0,180,32.2,3,0,4,0.3,0,0
Stephen_Ward_71,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,143,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,35086,0,0,0,3,1,0,0,-790,13,803,47,TRUE,2.3,0,0,Stephen,Ward,0,0,228,6,17.2,48.4,19,0,44,8.5,1,0,1,0.6,0,0
Kevin_Long_73,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,143,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,22932,0,0,0,3,1,0,0,-291,441,732,42,TRUE,2.5,0,0,Kevin,Long,0,0,333,5,1,103,6,0,71,11.1,1,0,0,0.4,0,0
Steven_Defour_77,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,143,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1421,0,0,0,3,1,0,0,2,55,53,54,TRUE,1.7,0,0,Steven,Defour,0,0,449,14,36.6,61.4,0,0,70,9.9,0,0,0,0,0,0
Jonathan_Walters_81,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,143,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1762,0,0,0,3,1,0,0,-10,9,19,48,TRUE,0,0,0,Jonathan,Walters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam_Vokes_84,0,5,0,0,0,3,0,2,2,0.5,0,0,84,0,0,143,0,1,0,0.5,4,0,0,0,19,1,0,12,0,0,0,0,0,0,0,103761,0,0,0,3,1,0,1,-828,11498,12326,53,TRUE,2.8,0,0,Sam,Vokes,0.2,0,817,15,105.8,151,284,7,116,53.2,2,0,0,1.8,0,0
Nahki_Wells_86,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,143,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,59368,0,0,0,3,1,0,0,-740,31,771,45,TRUE,0,0,0,Nahki,Wells,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alex_Smithies_89,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,147,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,5625,0,0,0,1,3,0,0,-37,54,91,43,FALSE,0,0,0,Alex,Smithies,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
Matthew_Connolly_93,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,147,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,61637,0,0,0,1,3,0,0,-863,300,1163,39,FALSE,0,0,0,Matthew,Connolly,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0
Lee_Peltier_95,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,147,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,164908,0,0,0,1,3,0,0,8624,15456,6832,38,FALSE,0.3,0,0,Lee,Peltier,0,0,160,5,6.5,20.6,0,0,15,2.7,0,0,1,2.8,0,0
