first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Anthony,Pilkington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,Anthony,Pilkington,103
Loïc,Damour,0,0,2,21,2,1,0.6,8,0,6,0.9,0,0,0,0.1,43,Loïc,Damour,104
Danny,Ward,1,0,19,331,11,56.7,60.2,69,0,58,18.3,0,0,0,0.2,43,Danny,Ward,105
Josh,Murphy,3,1,68,1634,29,204.2,246.6,498,3,160,94.1,6,0,1,0.2,48,Josh,Murphy,106
Kenneth,Zohore,1,1,29,615,17,147.1,95.8,241,2,84,48.4,1,0,1,0.6,46,Kenneth,Zohore,107
Omar,Bogle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,Omar,Bogle,108
Gary,Madine,0,0,5,32,3,1.5,2,8,0,13,1,0,0,0,0.9,44,Gary,Madine,109
Bobby,Reid,4,3,69,1230,27,177.3,246.4,305,7,228,72.5,3,0,0,1,52,Bobby,Reid,110
Thibaut,Courtois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,55,Thibaut,Courtois,111
Willy,Caballero,0,0,6,90,0,0,3.6,0,0,19,0.4,1,0,0,0.1,47,Willy,Caballero,112
César,Azpilicueta,1,5,140,3042,36,486.5,715.2,234,11,728,144.1,14,0,4,10.1,64,César,Azpilicueta,113
Gary,Cahill,0,0,1,21,0,0,2.8,0,0,3,0.3,0,0,0,0.5,50,Gary,Cahill,114
Marcos,Alonso,1,8,139,2489,27,487.4,533,436,19,617,145.9,12,0,6,24.1,63,Marcos,Alonso,115
David,Luiz Moreira Marinho,2,2,140,2880,33,327.3,759.4,301,16,698,138.7,14,0,3,13.1,59,David,Luiz Moreira Marinho,116
Victor,Moses,0,0,2,26,1,12.7,1.2,6,0,3,2,0,0,0,1.2,55,Victor,Moses,117
Antonio,Rüdiger,1,1,111,2807,34,143,556.4,266,9,591,96.7,12,0,7,3.4,59,Antonio,Rüdiger,118
