first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Gary,Madine,0,0,5,32,3,1.5,2,8,0,13,1,0,0,0,0.9,44,Gary,Madine,109
Bobby,Reid,4,3,68,1221,26,176.8,246.4,305,7,226,72.4,3,0,0,1,52,Bobby,Reid,110
Thibaut,Courtois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,55,Thibaut,Courtois,111
Willy,Caballero,0,0,6,90,0,0,3.6,0,0,19,0.4,1,0,0,0.1,47,Willy,Caballero,112
César,Azpilicueta,1,5,140,2952,34,485.7,687.6,228,11,721,140.7,14,0,3,10.5,64,César,Azpilicueta,113
Gary,Cahill,0,0,1,21,0,0,2.8,0,0,3,0.3,0,0,0,0.5,50,Gary,Cahill,114
Marcos,Alonso,1,8,139,2489,27,487.4,533,436,19,617,145.9,12,0,6,25.3,64,Marcos,Alonso,115
David,Luiz Moreira Marinho,2,2,139,2790,31,313.7,722.2,301,16,684,133.6,14,0,3,14.4,60,David,Luiz Moreira Marinho,116
Victor,Moses,0,0,2,26,1,12.7,1.2,6,0,3,2,0,0,0,1.2,55,Victor,Moses,117
Antonio,Rüdiger,1,1,110,2768,34,142.8,551.2,266,9,587,96.2,12,0,7,3.7,59,Antonio,Rüdiger,118
Andreas,Christensen,0,0,14,360,3,6.4,74.2,2,0,81,8.3,2,0,1,0.4,50,Andreas,Christensen,119
Davide,Zappacosta,0,0,3,35,0,0.8,3.8,21,0,4,2.5,0,0,0,0.1,50,Davide,Zappacosta,120
Emerson,Palmieri dos Santos,0,0,20,480,7,65.2,75.6,68,1,102,20.9,2,0,0,0.2,52,Emerson,Palmieri dos Santos,121
Eden,Hazard,16,12,215,2537,30,1265,1170,1330,31,786,376.9,11,0,2,32.9,111,Eden,Hazard,122
Cesc,Fàbregas,0,0,6,175,2,58.5,37,14,0,36,10.9,0,0,1,0.3,62,Cesc,Fàbregas,123
Willian,Borges Da Silva,3,7,102,1850,22,1060.4,521.6,707,6,444,229,10,0,1,4.2,71,Willian,Borges Da Silva,124
Pedro,Rodríguez Ledesma,8,1,102,1533,19,416.1,468.8,634,12,397,151.7,5,0,1,4.2,63,Pedro,Rodríguez Ledesma,125
N'Golo,Kanté,3,4,105,2858,33,715.9,604,338,3,506,166,14,0,3,18.9,50,N'Golo,Kanté,126
Ross,Barkley,3,5,75,1141,13,332.9,308,399,5,283,103.7,6,0,1,1.5,51,Ross,Barkley,127
Daniel,Drinkwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,46,Daniel,Drinkwater,128
Tiemoué,Bakayoko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,Tiemoué,Bakayoko,129
Ethan,Ampadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,Ethan,Ampadu,130
Callum,Hudson-Odoi,0,1,16,293,1,123.6,77.4,123,1,74,32.1,2,0,0,3.1,42,Callum,Hudson-Odoi,131
Ruben,Loftus-Cheek,5,2,62,632,5,172.9,312.8,257,5,215,74.3,3,0,0,0.6,52,Ruben,Loftus-Cheek,132
Olivier,Giroud,2,4,52,798,5,241.8,182.2,469,2,167,88.2,6,0,1,2,77,Olivier,Giroud,133
Álvaro,Morata,5,0,46,936,11,130.2,219.8,523,3,119,86.3,6,0,3,1.3,84,Álvaro,Morata,134
Wayne,Hennessey,0,0,67,1575,26,0,358.8,0,6,311,35.9,5,0,0,2.6,44,Wayne,Hennessey,135
Julian,Speroni,0,0,1,90,4,0,31.4,0,0,16,3.1,0,0,0,10.5,39,Julian,Speroni,136
Vicente,Guaita,0,0,64,1304,13,0,295,0,7,280,29.5,6,0,2,1.8,42,Vicente,Guaita,137
James,Tomkins,1,1,86,2561,37,83,560.8,276,0,504,92.3,10,0,6,3.5,43,James,Tomkins,138
Scott,Dann,0,0,11,301,3,1.3,73,2,0,58,7.7,1,0,1,0,44,Scott,Dann,139
Martin,Kelly,0,0,18,660,11,16.2,164.6,8,1,109,19,2,0,2,4.7,39,Martin,Kelly,140
Jeffrey,Schlupp,4,3,90,1639,25,240.5,382,428,3,295,105.2,4,0,1,4.8,45,Jeffrey,Schlupp,141
Patrick,van Aanholt,2,2,125,2926,40,501.5,548.4,418,16,562,147,11,0,3,5.6,55,Patrick,van Aanholt,142
Mamadou,Sakho,0,0,88,2416,35,78.2,540.6,47,13,533,66.6,9,0,2,1.3,49,Mamadou,Sakho,143
Jairo,Riedewald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,Jairo,Riedewald,144
Aaron,Wan-Bissaka,0,2,104,2684,37,233.2,724.2,133,15,563,109.3,11,1,4,25.5,45,Aaron,Wan-Bissaka,145
Jason,Puncheon,0,0,15,392,9,79.9,43.6,39,0,50,16.3,1,0,1,1.1,42,Jason,Puncheon,146
James,McArthur,2,5,98,2613,40,406.2,538.8,375,5,395,132.1,10,0,6,3,48,James,McArthur,147
Bakary,Sako,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,49,Bakary,Sako,148
Andros,Townsend,4,4,111,2730,40,833.3,594.8,534,5,416,196.4,11,0,1,3.8,58,Andros,Townsend,149
Luka,Milivojevic,11,1,148,2970,43,707.6,942.6,434,23,635,208.5,11,0,8,9.4,64,Luka,Milivojevic,150
Wilfried,Zaha,8,8,116,2591,39,624.7,600.2,1015,12,360,224.1,10,1,7,13.1,69,Wilfried,Zaha,151
Christian,Benteke,0,0,17,550,8,90.4,27.2,284,0,17,39,2,0,1,0.4,63,Christian,Benteke,152
Alexander,Sørloth,0,0,12,173,3,38.3,19.2,59,0,32,11.3,0,0,0,0.1,48,Alexander,Sørloth,153
Jordan,Pickford,0,0,140,2970,42,10,715.4,0,13,614,72.4,11,0,1,13,49,Jordan,Pickford,154
Maarten,Stekelenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,39,Maarten,Stekelenburg,155
Leighton,Baines,0,0,7,374,6,91.4,48.4,15,0,48,15.4,0,0,0,0.5,50,Leighton,Baines,156
Seamus,Coleman,1,2,97,2198,28,312.4,416.2,184,9,445,91.2,10,0,1,1.4,52,Seamus,Coleman,157
Phil,Jagielka,1,0,19,233,2,20.7,55.2,39,3,60,11.4,2,1,0,0.4,43,Phil,Jagielka,158
Ashley,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Ashley,Williams,159
Mason,Holgate,0,0,5,407,9,5,92.2,2,0,61,9.9,0,0,1,0.1,43,Mason,Holgate,160
Jonjoe,Kenny,0,1,19,789,15,102.7,166.2,12,0,134,28,1,0,1,0.2,42,Jonjoe,Kenny,161
Michael,Keane,1,2,109,2610,37,99.4,647.2,282,14,553,103.3,10,0,2,4.1,48,Michael,Keane,162
Cuco,Martina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Cuco,Martina,163
Theo,Walcott,3,3,85,1928,31,333.6,326.2,561,4,234,121.5,6,0,1,2.6,59,Theo,Walcott,164
Yannick,Bolasie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,58,Yannick,Bolasie,165
James,McCarthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,James,McCarthy,166
Morgan,Schneiderlin,0,1,18,472,7,101.3,96.2,14,0,97,21.2,2,0,1,2,42,Morgan,Schneiderlin,167
Idrissa,Gueye,0,1,63,2412,28,236,528.2,116,0,393,88.1,10,0,5,0.3,47,Idrissa,Gueye,168
Tom,Davies,0,0,26,975,19,96.2,122.6,103,0,127,32.1,2,0,3,0.1,51,Tom,Davies,169
Ademola,Lookman,0,2,27,536,7,155.4,119.2,146,0,99,42.2,1,0,0,0.1,50,Ademola,Lookman,170
Davy,Klaassen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,Davy,Klaassen,171
Gylfi,Sigurdsson,12,4,155,2694,37,924.4,837.6,968,17,568,272.9,12,0,3,7.7,73,Gylfi,Sigurdsson,172
Nikola,Vlasic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Nikola,Vlasic,173
Beni,Baningime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,Beni,Baningime,174
Dominic,Calvert-Lewin,6,4,81,1427,24,144.6,298.4,486,3,255,91.8,5,0,3,1.9,54,Dominic,Calvert-Lewin,175
Oumar,Niasse,0,0,23,766,11,72.1,57.4,268,0,19,39.6,3,0,0,0.4,50,Oumar,Niasse,176
Cenk,Tosun,2,3,45,931,15,129.2,168.2,453,0,127,74.8,1,0,3,1.5,64,Cenk,Tosun,177
Marcus,Bettinelli,0,0,15,630,20,0,195,0,0,114,19.4,0,0,1,0.3,43,Marcus,Bettinelli,178
David,Button,0,0,15,360,5,0,89.2,0,2,76,8.9,1,0,0,2.8,40,David,Button,179
Tim,Ream,0,0,30,1686,48,44.1,265.2,2,3,258,31.3,2,0,0,0.1,42,Tim,Ream,180
Denis,Odoi,0,1,36,2475,62,163.3,553,58,2,395,77.7,2,0,4,0.1,44,Denis,Odoi,181
Tom,Cairney,0,1,53,1828,46,483.5,268.2,147,0,311,90,3,0,0,0.4,46,Tom,Cairney,182
Kevin,McDonald,0,0,17,837,27,71.9,99.6,15,0,123,18.7,0,1,4,0.2,42,Kevin,McDonald,183
Ryan,Sessegnon,2,7,81,1866,56,424.6,377.8,344,3,257,114.9,0,0,0,1.9,60,Ryan,Sessegnon,184
Stefan,Johansen,0,0,11,409,12,33,48.8,7,0,48,9,0,0,4,0,50,Stefan,Johansen,185
Floyd,Ayité,1,0,19,380,10,53.5,75.4,64,0,63,19.1,0,0,0,0.1,43,Floyd,Ayité,186
Neeskens,Kebano,0,0,6,92,2,7.8,17.6,8,0,21,3.3,0,0,0,0,43,Neeskens,Kebano,187
Rui Pedro,da Rocha Fonte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,Rui Pedro,da Rocha Fonte,188
Aboubakar,Kamara,3,0,28,688,17,149.5,150,244,2,82,53.1,1,0,2,5.6,45,Aboubakar,Kamara,189
Ben,Hamer,0,0,9,462,17,0,152,0,0,87,15.1,0,0,0,5.7,39,Ben,Hamer,190
Jonas,Lössl,0,0,88,2507,46,30.3,661.4,4,6,483,69.4,5,0,0,1.8,44,Jonas,Lössl,191
Christopher,Schindler,1,1,71,2810,59,35.7,566.8,162,7,454,76.7,5,1,4,2.3,42,Christopher,Schindler,192
Chris,Löwe,0,3,44,1838,48,353.9,290.2,163,6,281,80.6,1,0,1,0.1,44,Chris,Löwe,193
Tommy,Smith,0,0,5,826,29,70.3,110.8,22,0,103,20.4,1,1,2,0.1,44,Tommy,Smith,194
Mathias,Jorgensen,3,1,67,2147,38,103.7,544.2,169,4,402,81.9,3,0,6,2.6,44,Mathias,Jorgensen,195
Scott,Malone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,40,Scott,Malone,196
Florent,Hadergjonaj,0,0,50,1747,32,376,265.6,80,1,295,72.1,4,0,1,0.1,43,Florent,Hadergjonaj,197
Terence,Kongolo,1,1,54,2266,52,134.4,477.8,132,3,363,74.5,4,0,4,0.2,43,Terence,Kongolo,198
Aaron,Mooy,3,1,69,2048,42,662,466.2,331,5,371,146.1,3,0,4,1,50,Aaron,Mooy,199
Rajiv,van La Parra,0,0,10,405,6,57.6,27.8,41,0,13,12.6,1,0,0,0,46,Rajiv,van La Parra,200
Jonathan,Hogg,0,1,47,1969,32,246.7,341.6,45,3,303,63.4,5,1,6,0.2,44,Jonathan,Hogg,201
Philip,Billing,2,0,63,2187,43,341,494.6,375,4,317,121.3,5,0,7,1.2,45,Philip,Billing,202
Tom,Ince,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Tom,Ince,203
Danny,Williams,0,0,5,93,1,11.4,8.6,1,0,9,2,1,0,1,0,45,Danny,Williams,204
Abdelhamid,Sabiri,0,0,2,48,3,0.5,4.2,2,0,6,0.7,0,0,0,0,43,Abdelhamid,Sabiri,205
Alex,Pritchard,1,0,57,1895,37,420.3,230.8,512,0,202,116.2,7,0,2,0.1,48,Alex,Pritchard,206
Ramadan,Sobhi,0,0,4,75,2,48.2,15.4,6,0,13,6.9,0,0,0,0.1,47,Ramadan,Sobhi,207
Juninho,Bacuna,1,0,31,985,24,201.2,201.4,84,1,148,48.8,0,0,2,0.4,42,Juninho,Bacuna,208
Collin,Quaner,0,0,2,37,2,13.7,2.2,0,0,3,1.6,0,0,0,3.4,43,Collin,Quaner,209
Laurent,Depoitre,0,1,34,1058,23,124.3,51.6,381,0,40,54.8,0,0,1,0.4,51,Laurent,Depoitre,210
Steve,Mounie,2,4,63,1614,32,245.2,226.4,764,4,151,121.6,5,1,1,0.2,58,Steve,Mounie,211
Elias,Kachunga,0,0,24,992,24,105.3,72.8,147,0,31,32,1,0,2,0.1,48,Elias,Kachunga,212
Kasper,Schmeichel,0,0,101,2970,44,0,632,4,6,521,63.4,8,0,2,5.3,50,Kasper,Schmeichel,213
Eldin,Jakupovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,Eldin,Jakupovic,214
Wes,Morgan,3,0,74,1834,27,38.9,449.8,293,7,352,78.3,6,2,1,2,46,Wes,Morgan,215
Christian,Fuchs,0,0,3,206,5,85.6,50.4,14,0,38,14.9,0,0,0,0.4,41,Christian,Fuchs,216
Danny,Simpson,0,0,11,275,4,12.5,73.4,2,0,47,8.8,1,0,0,0.2,42,Danny,Simpson,217
Yohan,Benalouane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,39,Yohan,Benalouane,218
Benjamin,Chilwell,0,4,99,2790,39,562.1,576,244,8,480,138.8,8,0,3,3.5,51,Benjamin,Chilwell,219
Harry,Maguire,3,1,74,2146,37,148.1,606.6,425,8,433,117.9,4,1,5,8.5,54,Harry,Maguire,220
Ricardo Domingos,Barbosa Pereira,2,7,122,2673,41,481.7,759.4,373,17,580,161.4,8,0,6,14,54,Ricardo Domingos,Barbosa Pereira,221
Jonny,Evans,1,0,60,1633,23,54.4,362.6,133,1,329,55.1,6,0,2,0.5,48,Jonny,Evans,222
