assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16484,0,0,0,5,0,0,0,-507,130,637,49,0,0,0,1,0,25,302,14,53.8,61.2,106,0,75,21.8,0,0,1,0.3
0,28,0,1,0,-2,1,0,19,5,1,0,0,1,0,0,1.6,0,0,0,0,75,0,0,3,0,0,0,0,8,0,0,439324,4,0,3,5,0,17,2,-57299,12669,69968,66,0,0,0,11,3,129,2633,48,491.4,605.8,929,20,424,201.6,9,0,3,6.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,22322,0,0,0,5,0,0,0,-43,3,46,56,0,0,0,0,0,4,22,2,0,3,23,0,12,2.6,0,0,0,0.4
0,19,0,0,0,10,0,0,16,0,0,0,0,0,2,0,1.1,11.2,0,0,0,90,0,0,5,0,0,0,0,6,0,1,358894,0,0,0,2,0,0,1,148547,169400,20853,44,1,0,0,0,0,85,2610,48,0,562.6,0,9,448,56.4,5,0,2,5.6
0,80,0,0,0,13,0,2,61,11.4,0,0,0,0,2,0,3.1,13.8,1,0,0,90,0,0,5,0,0,0,0,9,0,0,265521,0,0,0,2,0,6,1,91684,117294,25610,44,1,0,0,2,1,80,2701,49,121.6,683.6,194,6,498,100.3,6,1,4,4.1
0,60,0,0,0,12,0,6,44,0.8,0,0,0,1,2,0,6.1,28.8,0,0,0,90,0,0,5,0,0,0,0,9,0,0,694170,1,0,0,2,0,31,1,271971,284884,12913,48,1,0,0,5,2,103,2637,48,73.5,887.6,457,9,511,142,6,1,4,10.7
0,48,0,0,0,16,0,2,41,12.4,1,0,0,0,2,0,2.8,16,1,0,0,90,0,0,5,0,0,0,0,4,0,0,18310,0,1,0,2,0,0,1,-163,121,284,44,1,0,0,0,1,33,799,11,78.5,130.8,14,4,165,22.3,3,0,2,0.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9136,0,0,0,2,0,0,0,266,420,154,44,1,0,0,0,0,42,1715,34,151.7,211.4,8,0,235,37,4,0,0,0.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,260786,0,0,0,2,0,0,0,-1832,3787,5619,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,109648,0,0,0,2,0,0,0,-397,2387,2784,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
