assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent,F_pts,in_dreamteam
1,44,1,1,1,24,0,3,35,37.3,5,0,0,1,3,0,9.2,43,3,0,0,90,0,1,14,0,0,0,0,5,0,0,163420,2,0,1,3,1,12,5,25580,28460,2880,44,1,0,0,4,2,3,1189,20,170.7,330.2,357,3,226,86,2,0,1,2.8,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1718864,0,0,0,3,1,0,0,-276142,695,276837,45,1,0,0,0,1,3.4,2234,32,198.2,595.6,127,14,462,92.3,9,1,4,26.6,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,697083,0,0,0,0,1,0,0,38362,42748,4386,64,1,0,0,1,1,4.3,1898,14,248.4,368.6,120,6,463,73.7,11,0,1,11.2,5,0
0,20,0,0,0,6,1,1,12,13.5,0,0,0,2,0,0,1.8,0.8,1,0,0,63,0,0,9,0,0,0,0,7,0,0,27604,1,0,0,0,2,4,2,1527,2153,626,55,1,0,0,2,1,1.9,840,13,102.2,136.8,364,1,100,60,5,0,1,0.4,5,0
0,2,0,1,0,0,0,0,2,0,0,0,0,0,2,0,4,6,0,0,0,17,0,0,12,0,0,0,0,0,0,0,33064,0,0,0,0,5,34,1,-561,363,924,59,0,0,0,4,0,2.4,800,13,115.9,171,374,4,121,65.3,3,0,1,0.5,5,0
0,13,0,0,0,10,0,8,11,0,0,0,0,0,1,0,1.6,16.2,0,0,0,90,0,0,13,0,0,0,0,4,0,0,66704,1,0,0,0,1,0,2,10282,12156,1874,43,0,0,0,1,0,2.3,2340,35,48.8,519.6,138,2,412,70.7,4,0,3,1.1,5,0
0,9,0,0,0,3,0,0,8,0.6,0,0,0,0,1,0,0.6,5.2,0,0,0,7,0,0,14,0,0,0,0,1,0,0,13394,0,0,0,3,1,0,1,-3,133,136,47,1,0,0,0,2,2.2,1452,23,171.2,233.4,171,0,182,57.3,8,0,2,0.2,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,89889,0,0,0,0,1,0,0,880,2763,1883,61,0,0,0,5,3,3.4,960,15,92.1,225.6,433,7,202,74.5,5,0,1,1.5,5,0
0,30,0,0,0,5,0,4,20,0.9,0,0,0,1,1,0,0.7,6.4,0,0,0,90,0,0,10,0,0,0,0,5,0,0,733895,0,0,0,0,1,0,1,4736,15869,11133,42,0,0,1,1,0,2.5,2430,33,122.2,448,128,1,363,69.9,6,0,9,11.8,5,0
0,26,0,0,0,4,0,0,22,26,2,0,0,1,2,0,8.9,6.8,2,0,0,90,1,0,16,0,0,0,0,2,0,0,26080,4,0,0,0,2,56,2,4941,6472,1531,55,0,0,0,1,2,3.3,487,13,113.8,86.2,182,0,72,38.2,0,0,2,0.4,5,0
1,32,1,0,0,24,0,1,26,22.9,1,0,0,0,1,0,5.8,23.6,2,0,0,68,0,0,3,0,0,0,0,1,0,0,8005,0,0,1,1,2,11,5,-12,792,804,60,1,0,0,0,1,2.7,231,6,69.7,46.8,62,0,46,17.9,0,0,1,0.1,5,0
0,5,0,0,0,26,0,2,5,1.1,1,0,0,0,0,1,6.8,41,0,0,0,26,2,0,2,0,0,0,0,0,0,0,691756,1,0,0,1,5,26,5,39683,79288,39605,95,1,0,0,12,8,5,1829,22,341.9,684.2,928,19,471,195,4,0,2,11,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11440,0,0,0,1,2,0,0,-895,52,947,50,0,0,0,2,0,1.9,529,7,27.1,97.6,271,2,62,39,1,0,1,0.2,4,0
0,32,0,0,0,9,0,2,20,26.3,1,0,0,1,1,0,5.9,10.4,2,0,0,76,0,1,7,0,0,0,0,3,0,0,5792,2,0,0,3,1,22,2,-135,107,242,53,0,0,0,0,1,2,558,6,148.4,98.4,48,0,95,29.5,1,0,2,0.1,4,0
0,58,0,0,0,14,0,1,49,27.5,0,0,0,1,1,0,4.1,12.2,2,0,0,89,0,1,7,0,0,0,0,2,0,0,72398,3,3,1,3,1,1,2,8,211,203,54,0,0,0,1,0,2.2,652,11,152.2,129.2,66,3,106,34.8,1,0,2,1.2,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,17429,0,0,0,0,2,0,0,-384,395,779,51,1,0,0,3,0,2.3,1109,21,299.5,237.4,319,2,180,85.5,3,0,2,0.3,4,0
0,68,0,0,0,15,0,9,57,28.3,0,0,0,0,2,0,4.6,17.8,1,0,0,90,0,2,6,1,0,0,0,9,0,0,1134765,1,1,0,0,2,0,-1,-60666,4780,65446,62,0,0,0,1,5,4.3,1825,19,649.4,480.2,112,10,463,124.2,8,0,2,17.9,4,0
0,38,0,0,0,42,1,0,32,7.2,1,0,0,1,0,2,13.5,64.6,0,0,0,77,1,0,18,0,0,0,0,1,0,0,1395985,5,0,1,0,5,63,13,38066,60451,22385,96,1,1,0,14,2,6,2183,14,437.8,684.2,964,16,478,208.6,14,0,1,23.3,3,0
0,48,0,0,0,7,1,0,38,9.7,7,0,0,0,0,0,9.3,15.8,0,0,0,90,0,0,18,0,0,0,0,3,0,0,3074260,10,1,1,0,5,67,3,-43453,16296,59749,136,1,0,0,17,8,7,2373,13,750.5,921,1533,15,541,320.7,16,0,0,48.6,3,0
0,17,0,1,0,1,0,0,14,11.2,1,0,0,0,0,0,5.3,11.6,0,0,0,35,0,2,19,0,0,0,0,1,0,0,753839,3,1,1,0,1,30,1,108742,120532,11790,113,1,0,0,12,13,7,1989,17,744.8,815.6,1112,20,596,267.4,10,0,2,12.4,3,0
0,54,0,0,0,17,0,2,50,14.3,0,0,0,1,2,0,3.3,10.8,1,0,0,80,0,0,11,0,0,0,0,7,0,0,189093,0,1,0,1,2,8,2,-1376,360,1736,44,0,0,0,1,0,2,1584,31,122.8,277.4,46,2,235,44.5,3,1,4,3,3,0
0,48,0,0,3,31,0,2,39,12.3,1,0,0,0,2,1,7.7,41.8,1,0,0,90,0,0,11,0,0,0,0,5,0,0,6192,0,0,1,1,2,23,10,-104,62,166,48,0,0,0,1,1,2.5,2042,36,191.7,321.2,113,3,284,62.8,3,0,2,0.1,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,178830,0,0,0,3,1,0,0,-4187,250,4437,45,1,0,0,0,0,3.8,1485,25,0,333.8,0,6,295,33.4,5,0,0,2.9,3,0
0,64,0,0,0,13,1,4,55,19,0,0,0,3,0,0,3.1,11.8,1,0,0,90,0,1,5,0,0,0,0,9,0,0,126658,1,0,0,3,0,0,3,-2042,765,2807,42,0,0,0,0,1,1.8,375,7,85.5,73.4,10,0,80,16.9,1,0,1,2,3,0
1,67,0,0,0,27,1,5,58,38.9,2,0,0,1,0,0,9.4,45.2,3,0,0,90,0,0,5,0,0,0,0,7,0,0,16595,2,1,0,3,0,10,6,56,204,148,47,0,0,0,0,1,2.1,1962,25,202.1,438.6,68,0,309,70.9,6,0,5,0.3,3,0
0,35,0,0,3,53,1,2,28,15.3,2,0,0,1,0,2,12.5,75.8,1,0,0,87,0,0,5,0,0,0,0,6,0,0,342832,3,1,0,3,0,34,16,2719,19074,16355,72,0,1,0,11,3,4.8,2255,34,741.7,716.2,761,17,498,221.8,8,0,3,5.7,3,0
0,30,0,0,0,17,1,2,25,41.6,1,0,0,0,0,0,5.8,16.8,3,0,0,77,0,1,20,0,0,0,0,3,0,0,4051,2,1,0,0,1,0,3,-157,20,177,48,1,0,0,1,0,2.2,1505,27,349.7,189.6,408,0,162,94.6,6,0,1,0.1,3,0
0,21,0,0,0,5,0,1,19,1.8,0,0,0,0,0,0,0.8,4.6,0,0,0,20,0,0,18,0,0,0,0,2,0,0,34835,0,1,0,0,5,2,1,115,260,145,53,1,0,0,0,0,1.7,1321,10,193,204.2,51,0,257,45.1,7,1,0,0.6,3,0
0,45,0,0,0,9,1,1,39,4,1,0,0,0,0,0,1.8,7.4,0,0,0,83,0,0,18,0,0,0,0,4,0,0,65035,3,0,0,0,5,7,3,3705,5038,1333,55,1,0,0,2,1,3.1,2018,10,275.1,309.4,278,6,327,86.4,14,0,3,1.1,3,0
0,90,0,0,0,18,1,2,84,16.4,0,0,0,0,0,0,3.3,13.8,1,0,0,90,0,0,19,0,0,0,0,3,0,0,144029,0,2,1,0,1,3,3,14982,17817,2835,54,1,0,0,5,2,3.6,1321,12,456.9,374.6,385,8,349,121.7,7,0,2,2.3,3,0
