assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent
0,0,0,0,0,-6.058823529,-0.117647059,0,0,-4.794117647,0,0,0,0,-1.088235294,0,-1.152941176,-5.611764706,0,0,0,-42.29411765,0,0,3,0,0,0,0,0,0,0,9004,0,0,0,5,0,-1.117647059,0,-191,9,200,46,0,0,-0.058823529,0,0,36,42.29411765,1.088235294,4.794117647,5.611764706,1.117647059,0,6.058823529,1.152941176,0.117647059,0,0.058823529,0.1
-0.088235294,6,0,0,-0.088235294,15.08823529,-0.058823529,0,5,-6.544117647,1,0,0,0,-0.705882353,-1,2.8,27.82941176,0,0,0,-22.38235294,0,0,3,0,0,0,0,1,0,0,5339,1,0,0,5,0,7.029411765,6,-46,76,122,60,0,0,-0.029411765,2,0.088235294,55,29.38235294,0.705882353,7.444117647,6.570588235,9.970588235,0.088235294,5.911764706,2.4,0.058823529,0,0.029411765,0.1
-0.058823529,69,0,0,0,23.82352941,0.882352941,6,59,-1.144117647,1,0,0,1,-0.911764706,0,9.620588235,61.43529412,0,0,0,43.17647059,0,0,3,0,0,0,0,7,0,0,5922,2,0,1,5,0,36.17647059,7,-39,86,125,47,0,1,0.794117647,1,0.058823529,47,46.82352941,0.911764706,3.844117647,10.16470588,5.823529412,0,6.176470588,1.979411765,0.117647059,0,0.205882353,0.1
-0.029411765,0,0,0,0,-2.205882353,0,0,0,-4.464705882,0,0,0,0,-0.558823529,0,-1.014705882,-2.241176471,0,0,0,-18.94117647,0,0,3,0,0,0,0,0,0,0,13517,0,0,0,5,0,-3.470588235,0,-72,47,119,50,0,0,-0.029411765,0,0.029411765,23,18.94117647,0.558823529,4.464705882,2.241176471,3.470588235,0,2.205882353,1.014705882,0,0,0.029411765,0.2
0,0,0,0,0,-2.676470588,-0.088235294,0,0,-1.482352941,0,0,0,0,-0.294117647,0,-0.485294118,-2.235294118,0,0,0,-21.14705882,0,0,3,0,0,0,0,0,0,0,7144,0,0,0,5,0,-1.058823529,0,-13,10,23,46,0,0,-0.058823529,0,0,22,21.14705882,0.294117647,1.482352941,2.235294118,1.058823529,0,2.676470588,0.485294118,0.088235294,0,0.058823529,0.1
1.647058824,44,1,0,1.411764706,33.20588235,0.764705882,2,37,18.32352941,0,0,0,0,-1.647058824,-6,6.891176471,55.97647059,3,0,0,6.823529412,0,1,3,0,0,0,0,3,0,0,1402509,2,0,0,5,0,-5.088235294,16,-117704,22025,139729,63,0,0,-0.058823529,7,0.352941176,163,83.17647059,1.647058824,33.47647059,24.42352941,16.08823529,0.588235294,19.79411765,7.408823529,0.235294118,0,0.058823529,22.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2646,0,0,0,5,0,0,0,-9,0,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.852941176,39,1,0,0.794117647,31.88235294,0.735294118,3,27,33.62058824,1,0,0,0,-1.088235294,-6,9.897058824,49.53529412,4,0,0,28.73529412,0,0,3,0,0,0,0,6,0,0,304288,3,1,0,5,0,15.47058824,12,-46179,9415,55594,51,0,0,-0.088235294,7,0.147058824,116,61.26470588,1.088235294,12.77941176,16.66470588,17.52941176,0.205882353,11.11764706,4.702941176,0.264705882,0,0.088235294,4.9
1.676470588,18,1,0,2.441176471,40.55882353,0.764705882,1,12,10.60588235,1,0,0,0,-1.117647059,-11,6.214705882,51.26470588,2,0,0,18.23529412,0,0,3,0,0,0,0,3,0,0,1016710,1,0,0,5,0,-0.176470588,15,-105177,26908,132085,66,0,0,-0.088235294,12,0.323529412,146,63.76470588,1.117647059,10.49411765,18.33529412,27.17647059,0.558823529,13.44117647,5.585294118,0.235294118,0,0.088235294,17.2
0,0,0,0,0,-2.205882353,0,0,0,-1.582352941,0,0,0,0,-0.411764706,-1,-0.641176471,-1.8,0,0,0,-8.882352941,0,0,3,0,0,0,0,0,0,0,16484,0,0,0,5,0,-3.117647059,0,-507,130,637,49,0,0,-0.029411765,1,0,25,8.882352941,0.411764706,1.582352941,1.8,3.117647059,0,2.205882353,0.641176471,0,0,0.029411765,0.3
