,assists,predF_pts_rf,predd_team_rf,first_name,second_name,,,,,,,,,,,,
125,-0.029411765,0.896566667,0.041933333,Pedro,Rodríguez Ledesma,,,,,,,,,,,,
330,0,2.949166667,0.0419,Ryan,Bertrand,,,,,,,,,,,,
265,-0.029411765,2.730766667,0.040933333,Kyle,Walker,,,,,,,,,,,,
328,0,1.744733333,0.040266667,Alex,McCarthy,,,,,,,,,,,,
219,-0.117647059,3.325,0.039633333,Benjamin,Chilwell,,,,,,,,,,,,
417,-0.117647059,1.047133333,0.0384,Marko,Arnautovic,,,,,,,,,,,,
59,-0.058823529,2.389266667,0.038233333,Pascal,Groß,,,,,,,,,,,,
389,-0.088235294,2.355433333,0.038133333,Etienne,Capoue,,,,,,,,,,,,
549,0,2.851466667,0.037733333,Juan,Foyth,,,,,,,,,,,,
24,0,1.884866667,0.0373,Asmir,Begovic,,,,,,,,,,,,
138,-0.029411765,1.3117,0.0367,James,Tomkins,,,,,,,,,,,,
293,-0.088235294,1.552133333,0.036566667,Ashley,Young,,,,,,,,,,,,
331,0.970588235,3.507833333,0.0365,Maya,Yoshida,,,,,,,,,,,,
286,-0.117647059,0.921233333,0.035666667,Luke,Shaw,,,,,,,,,,,,
426,0,2.308066667,0.035566667,Romain,Saïss,,,,,,,,,,,,
211,-0.117647059,1.667866667,0.035566667,Steve,Mounie,,,,,,,,,,,,
264,0,1.736,0.035366667,Nicolás,Otamendi,,,,,,,,,,,,
74,-0.029411765,2.350566667,0.035266667,Charlie,Taylor,,,,,,,,,,,,
195,-0.029411765,1.1028,0.0339,Mathias,Jorgensen,,,,,,,,,,,,
297,0.882352941,2.0036,0.033833333,Juan,Mata,,,,,,,,,,,,
7,0,2.5264,0.033333333,Shkodran,Mustafi,,,,,,,,,,,,
510,-0.029411765,1.844166667,0.033233333,Joe,Bryan,,,,,,,,,,,,
76,-0.176470588,1.9208,0.033,Johann Berg,Gudmundsson,,,,,,,,,,,,
225,-0.029411765,1.662166667,0.032633333,Demarai,Gray,,,,,,,,,,,,
383,-0.029411765,2.6302,0.0326,Francisco,Femenía Far,,,,,,,,,,,,
585,-0.058823529,2.590866667,0.0326,Karlan,Grant,,,,,,,,,,,,
67,0,2.079666667,0.031233333,Tom,Heaton,,,,,,,,,,,,
134,0,0.762566667,0.031066667,Álvaro,Morata,,,,,,,,,,,,
206,0,0.9434,0.030533333,Alex,Pritchard,,,,,,,,,,,,
494,-0.058823529,2.404466667,0.030066667,Jefferson,Lerma,,,,,,,,,,,,
162,-0.058823529,1.2143,0.03,Michael,Keane,,,,,,,,,,,,
208,0,2.819533333,0.029633333,Juninho,Bacuna,,,,,,,,,,,,
176,0,2.667233333,0.0295,Oumar,Niasse,,,,,,,,,,,,
141,-0.088235294,1.800566667,0.029466667,Jeffrey,Schlupp,,,,,,,,,,,,
202,0,0.8377,0.0294,Philip,Billing,,,,,,,,,,,,
272,-0.088235294,1.452466667,0.0291,Fernando,Luiz Rosa,,,,,,,,,,,,
256,-0.029411765,1.8705,0.0287,Naby,Keita,,,,,,,,,,,,
