assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent,F_pts,in_dreamteam
0,51,1,0,0,4.178571429,-0.071428571,3,36,17.18571429,0,0,0,1,0.785714286,-1,2.142857143,-0.207142857,2,0,0,29.78571429,0,0,16,0,0,0,0,7,0,0,58171,1,0,0,0,2,4.428571429,1,451,1300,849,42,0,0,-0.178571429,1,0,1.6,60.21428571,1.214285714,5.114285714,14.80714286,10.57142857,0,9.821428571,3.057142857,0.071428571,0,0.178571429,0.9,6,0
0,18,0,0,-0.071428571,4.214285714,-0.071428571,0,9,0,0,0,0,0,4.607142857,0,1.275,12.57857143,0,0,0,70.71428571,0,0,1,0,0,0,0,2,0,1,513063,0,0,0,1,5,0,0,16603,20171,3568,40,0,0,-0.035714286,0,0,3.7,19.28571429,0.392857143,0,5.221428571,0,0.071428571,3.785714286,0.525,0.071428571,0,0.035714286,8.3,6,0
-0.178571429,35,0,0,-0.035714286,4.535714286,-0.071428571,1,29,32.925,3,0,0,0,1.035714286,-1,5.289285714,4.464285714,3,0,0,43.96428571,1,0,11,0,0,0,0,4,0,0,27966,4,0,0,1,2,15.10714286,2,-93,239,332,52,0,0,-0.107142857,1,0.178571429,2.5,46.03571429,0.964285714,13.275,9.935714286,9.892857143,0.035714286,7.464285714,3.310714286,0.071428571,0,0.107142857,0.5,6,0
-0.107142857,15,1,0,-0.357142857,-3.571428571,-0.178571429,0,7,2.485714286,0,0,0,3,1.142857143,-8,-1.214285714,-11.34285714,1,0,0,16.35714286,0,0,15,0,0,0,0,2,0,0,186811,1,0,0,0,2,-3.392857143,2,72136,76025,3889,57,0,0,-0.178571429,8,0.107142857,3.3,53.64285714,0.857142857,8.214285714,13.74285714,25.39285714,0.357142857,9.571428571,4.714285714,0.178571429,0,0.178571429,3.1,6,0
0.857142857,44,0,0,2.75,12.71428571,0.571428571,6,37,-1.271428571,0,0,0,1,-1.035714286,0,1.546428571,17.51428571,1,0,0,3.214285714,0,0,17,0,0,0,0,4,0,0,498277,1,0,0,0,2,-0.714285714,12,-4384,1361,5745,63,1,0,-0.035714286,0,0.142857143,4.1,86.78571429,1.035714286,14.57142857,20.08571429,4.714285714,0.25,21.28571429,3.953571429,0.428571429,0,0.035714286,8.1,6,0
0.964285714,55,1,0,1.821428571,24.89285714,0.785714286,2,47,26.85714286,1,0,0,0,-1,-1,6.353571429,20.39285714,3,0,0,24.35714286,1,0,5,0,0,0,0,4,0,0,65902,2,0,0,3,0,16.03571429,11,-1578,431,2009,52,0,0,-0.035714286,1,0.035714286,3.1,65.64285714,1,9.142857143,12.40714286,4.964285714,0.178571429,12.10714286,2.646428571,0.214285714,0,0.035714286,1.1,6,0
-0.071428571,59,0,0,-0.5,7.75,0.75,7,52,-2.110714286,0,0,0,2,-1.214285714,-1,-1.578571429,-6.078571429,0,0,0,9.642857143,0,0,5,0,0,0,0,3,0,0,237698,0,0,0,3,0,-7.571428571,6,-1145,6089,7234,49,0,0,-0.071428571,1,0.071428571,3.6,80.35714286,1.214285714,2.810714286,20.27857143,9.571428571,0.5,16.25,3.278571429,0.25,0,0.071428571,3.8,6,0
-0.071428571,39,0,1,-0.321428571,-7.392857143,-0.107142857,0,31,-3.778571429,2,0,0,0,-0.25,-5,2.585714286,-5.828571429,0,0,0,17.75,2,0,19,0,0,0,0,2,0,0,111838,2,1,1,0,1,35.42857143,1,895,1746,851,82,1,0,0,5,0.071428571,3.3,36.25,0.25,10.57857143,11.02857143,19.57142857,0.321428571,8.392857143,4.114285714,0.107142857,0,0,1.8,6,0
-0.035714286,26,0,0,-0.142857143,1.928571429,0.535714286,0,23,-1.178571429,0,0,0,0,-0.714285714,0,-0.471428571,-3.728571429,0,0,0,0,0,0,19,0,0,0,0,2,0,1,1262999,0,0,0,0,1,0,6,21293,29887,8594,56,1,0,-0.071428571,0,0.035714286,4.2,90,0.714285714,1.178571429,15.52857143,0,0.142857143,18.07142857,1.671428571,0.464285714,0,0.071428571,20.4,6,0
-0.142857143,24,0,0,-0.25,-7.678571429,-0.25,0,16,-8.117857143,1,0,0,1,2.357142857,-6,-2.846428571,-9.264285714,0,0,0,20.14285714,1,0,12,0,0,0,0,3,0,0,186385,5,0,0,0,5,-11.71428571,2,69892,78204,8312,55,0,0,-0.071428571,6,0.142857143,4.3,51.85714286,0.642857143,11.41785714,12.46428571,15.71428571,0.25,8.678571429,3.946428571,0.25,0,0.071428571,3.3,6,0
